train_loss, train_acc, val_loss, val_acc
5.04, 0.045, 4.47, 0.13
3.87, 0.30, 3.49, 0.34
2.87, 0.56, 2.66, 0.50
1.96, 0.76, 2.06, 0.62
1.30, 0.87, 1.64, 0.70
0.83, 0.94, 1.38, 0.73
0.53, 0.97, 1.21, 0.76
0.36, 0.99, 1.19, 0.77
0.34, 0.99, 1.18, 0.76
0.33, 0.99, 1.17, 0.77
0.31, 0.99, 1.15, 0.77
0.30, 0.99, 1.15, 0.77
0.29, 0.99, 1.13, 0.77
0.28, 0.99, 1.14, 0.77
0.27, 0.99, 1.13, 0.77
0.27, 0.99, 1.13, 0.77
0.27, 0.99, 1.13, 0.77
0.27, 0.99, 1.13, 0.77
0.27, 0.99, 1.13, 0.77
0.27, 0.99, 1.13, 0.77
0.27, 0.99, 1.13, 0.77
0.27, 0.99, 1.13, 0.77
0.27, 0.99, 1.13, 0.77
0.27, 0.99, 1.13, 0.77
0.27, 0.99, 1.13, 0.77

