train_loss, train_acc, val_loss, val_acc
5.16, 0.026, 4.76, 0.077
4.22, 0.21, 4.05, 0.19
3.36, 0.42, 3.44, 0.30
2.59, 0.61, 2.91, 0.42
1.91, 0.72, 2.53, 0.48
1.32, 0.87, 2.22, 0.53
0.90, 0.94, 2.03, 0.56
0.58, 0.98, 2.01, 0.57
0.55, 0.98, 2.00, 0.58
0.52, 0.98, 1.99, 0.58
0.49, 0.99, 1.96, 0.58
0.46, 0.98, 1.95, 0.59
0.44, 0.99, 1.95, 0.58
0.41, 0.99, 1.95, 0.58
0.41, 0.99, 1.95, 0.59
0.41, 0.99, 1.94, 0.59
0.40, 0.99, 1.94, 0.58
0.41, 0.99, 1.95, 0.58
0.40, 0.99, 1.94, 0.58
0.40, 0.99, 1.95, 0.58
0.40, 0.99, 1.95, 0.58
0.40, 0.99, 1.95, 0.58
0.40, 0.99, 1.95, 0.58


