train_loss, train_acc, val_loss, val_acc
5.49, 0.013, 4.79, 0.06
4.97, 0.038, 4.29, 0.21
4.52, 0.089, 3.87, 0.38
4.10, 0.16, 3.49, 0.43
3.66, 0.26, 3.28, 0.51
3.26, 0.38, 2.83, 0.60
2.84, 0.50, 2.64, 0.68
2.44, 0.63, 2.32, 0.76
2.27, 0.69, 2.22, 0.78
2.16, 0.70, 2.17, 0.78
2.11, 0.73, 2.12, 0.78
2.02, 0.76, 2.10, 0.79
1.95, 0.78, 2.07, 0.79
1.89, 0.80, 2.03, 0.81
1.85, 0.82, 1.99, 0.80
1.85, 0.82, 2.04, 0.80
1.85, 0.81, 2.03, 0.81
1.81, 0.83, 2.00, 0.81
1.81, 0.82, 2.00, 0.81
1.79, 0.83, 2.02, 0.81
1.80, 0.82, 2.00, 0.81
1.78, 0.83, 2.02, 0.82
1.80, 0.82, 2.03, 0.81
1.79, 0.83, 1.99, 0.81
1.78, 0.83, 1.98, 0.82
