train_loss, train_acc, val_loss, val_acc
3.62, 0.18, 2.01, 0.45
2.04, 0.43, 1.52, 0.56
1.51, 0.56, 1.19, 0.63
1.04, 0.68, 1.05, 0.69
0.84, 0.73, 0.91, 0.74
0.75, 0.77, 0.79, 0.76
0.58, 0.81, 0.87, 0.76
0.32, 0.90, 0.50, 0.85
0.24, 0.92, 0.48, 0.85
0.18, 0.95, 0.48, 0.85
0.16, 0.95, 0.46, 0.86
0.14, 0.96, 0.44, 0.87
0.12, 0.96, 0.44, 0.87
0.11, 0.97, 0.44, 0.86
0.11, 0.97, 0.44, 0.87
0.11, 0.97, 0.44, 0.87
0.10, 0.97, 0.44, 0.87
0.10, 0.97, 0.45, 0.87
0.10, 0.97, 0.45, 0.86
0.10, 0.97, 0.44, 0.87
0.10, 0.97, 0.44, 0.87
0.10, 0.97, 0.44, 0.87
0.09, 0.97, 0.43, 0.87
0.10, 0.97, 0.44, 0.87
